Altium Designer Pick and Place Locations
D:\Users\MUSTAFA\Desktop\Altium_Projects\Udemy_ADAK\Project Outputs for Udemy_ADAK\Pick Place for Udemy_ADAK_PCB.csv

========================================================================================================================
File Design Information:

Date:       07.05.23
Time:       00:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R18","RC0603JR-13100RL","TopLayer","RES_0603","2141.732","1122.043","270",""
"R19","RC0603JR-13100RL","TopLayer","RES_0603","2192.913","1122.043","270",""
"R20","RC0603JR-13100RL","TopLayer","RES_0603","602.362","1102.366","270",""
"R21","RC0603JR-13100RL","TopLayer","RES_0603","2090.551","1122.047","270",""
"R22","RC0603JR-13100RL","TopLayer","RES_0603","2594.492","834.646","180",""
"R23","RC0603FR-0710KL","BottomLayer","RES_0603","3358.272","228.354","180",""
"R24","RC0603FR-071KL","TopLayer","RES_0603","3326.772","527.559","0",""
"R25","RC0603JR-07220KL","BottomLayer","RES_0603","3248.032","263.783","90",""
"R26","RC0603FR-071KL","BottomLayer","RES_0603","3248.032","133.862","90",""
"R27","RC0603JR-07220KL","BottomLayer","RES_0603","3196.850","263.783","90",""
"R28","RC0603JR-13100RL","TopLayer","RES_0603","3326.772","722.441","0",""
"R29","RC0603FR-0710KL","BottomLayer","RES_0603","3608.272","586.614","180",""
"R30","RC0603FR-0743KL","BottomLayer","RES_0603","3576.772","677.165","90",""
"R31","RC0603JR-070RL","BottomLayer","RES_0603","3025.591","807.087","0",""
"R32","RC0603JR-070RL","BottomLayer","RES_0603","3025.590","751.969","0",""
"R33","RC0603JR-07560KL","BottomLayer","RES_0603","3564.961","795.272","270",""
"R34","RC0603FR-0710KL","BottomLayer","RES_0603","3564.961","917.319","270",""
"R35","RC0603JR-07560KL","BottomLayer","RES_0603","3513.780","917.327","90",""
"R36","RC0603FR-071KL","BottomLayer","RES_0603","3019.689","614.173","0",""
"R37","RC0603JR-07220KL","BottomLayer","RES_0603","3061.024","893.705","90",""
"RL1","ALQ112","TopLayer","ALQ112","2066.929","2834.646","90",""
"RL2","ALQ112","TopLayer","ALQ112","2578.740","2834.646","90",""
"RT1","TFPT1206L1002FM","BottomLayer","RES_1206","3383.858","295.283","0",""
"S1","LHI 878/3902","TopLayer","LHI_878","3326.772","1157.480","0",""
"SW1","EG1215AA","TopLayer","EG1215AA","1010.630","92.520","0",""
"T1","BV302S12010-ZU","TopLayer","BV302S","1141.732","2641.732","0",""
"U1","AP7361-33E-13","TopLayer","SOT223","1401.181","1558.819","0",""
"U2","LM2675MX-12/NOPB","TopLayer","SOIC8","1023.229","1321.063","90",""
"U3","STM32F103C6T6A","TopLayer","LQFP-48","2188.976","1488.189","270",""
"U4","ESP32-WROOM-32E-N4","TopLayer","ESP32-32E-N4","694.882","592.322","90",""
"U5","USBLC6-2SC6","TopLayer","SOT23-6L","2197.835","352.362","270",""
"U6","M41T0M6F","TopLayer","SOIC8","1826.772","956.693","270",""
"U7","MAX6662MSA+","TopLayer","SOIC8","2377.953","909.646","270",""
"U8","OPA314AIDBVT","BottomLayer","SOT23-5","3377.953","139.772","0",""
"U9","NCS36000DRG","BottomLayer","SOIC-14","3277.559","775.591","180",""
"USB1","10118192-0001LF","TopLayer","MICRO_B_USB","2185.039","133.957","0",""
"X1","ECS-160-20-30B-TR","TopLayer","ECS","1826.772","1515.748","45",""
"X2","ABS05-32.768KHZ-T","TopLayer","ABS05","1602.362","1009.842","90",""
